,timestamp,shared_counts,real_temperature,temperature,humidity,wind_speed,weather_code,is_holiday,is_weekend,season_code,date,year,season
0,2015-01-04 00:00:00,182,3.0,2.0,93.0,6.0,3,False,True,3,2015-01-04,2015,winter
1,2015-01-04 01:00:00,138,3.0,2.5,93.0,5.0,1,False,True,3,2015-01-04,2015,winter
2,2015-01-04 02:00:00,134,2.5,2.5,96.5,0.0,1,False,True,3,2015-01-04,2015,winter
3,2015-01-04 03:00:00,72,2.0,2.0,100.0,0.0,1,False,True,3,2015-01-04,2015,winter
4,2015-01-04 04:00:00,47,2.0,0.0,93.0,6.5,1,False,True,3,2015-01-04,2015,winter
5,2015-01-04 05:00:00,46,2.0,2.0,93.0,4.0,1,False,True,3,2015-01-04,2015,winter
6,2015-01-04 06:00:00,51,1.0,-1.0,100.0,7.0,4,False,True,3,2015-01-04,2015,winter
7,2015-01-04 07:00:00,75,1.0,-1.0,100.0,7.0,4,False,True,3,2015-01-04,2015,winter
8,2015-01-04 08:00:00,131,1.5,-1.0,96.5,8.0,4,False,True,3,2015-01-04,2015,winter
9,2015-01-04 09:00:00,301,2.0,-0.5,100.0,9.0,3,False,True,3,2015-01-04,2015,winter
10,2015-01-04 10:00:00,528,3.0,-0.5,93.0,12.0,3,False,True,3,2015-01-04,2015,winter
11,2015-01-04 11:00:00,727,2.0,-1.5,100.0,12.0,3,False,True,3,2015-01-04,2015,winter
12,2015-01-04 12:00:00,862,2.0,-1.5,96.5,13.0,4,False,True,3,2015-01-04,2015,winter
13,2015-01-04 13:00:00,916,3.0,-0.5,87.0,15.0,3,False,True,3,2015-01-04,2015,winter
14,2015-01-04 14:00:00,1039,2.5,0.0,90.0,8.0,3,False,True,3,2015-01-04,2015,winter
15,2015-01-04 15:00:00,869,2.0,-1.5,93.0,11.0,3,False,True,3,2015-01-04,2015,winter
16,2015-01-04 16:00:00,737,3.0,0.0,93.0,12.0,3,False,True,3,2015-01-04,2015,winter
17,2015-01-04 17:00:00,594,3.0,0.0,93.0,11.0,3,False,True,3,2015-01-04,2015,winter
